n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms
253,-21.0,-21.0,-21.0,1019.87,13186.793
254,-21.0,-21.0,-21.0,1019.88,13189.113
255,-21.0,-21.0,-21.0,1019.65,13194.453
256,-21.0,-21.0,-21.0,1019.72,13223.697
257,-21.0,-21.0,-21.0,1019.72,13257.453
258,-21.0,-21.0,-21.0,1019.74,13294.076
259,-21.0,-21.0,-21.0,1019.42,13320.105
260,-21.0,-21.0,-21.0,1019.42,13329.722
261,-21.0,-21.0,-21.0,1019.12,13307.458
262,-21.0,-21.0,-21.0,1018.76,13333.6
263,-21.0,-21.0,-21.0,1018.94,13338.659
264,-21.0,-21.0,-21.0,1018.42,13331.206
265,-21.0,-21.0,-21.0,1018.29,13329.871
266,-21.0,-21.0,-21.0,1017.86,13315.165
267,-21.0,-21.0,-21.0,1017.48,13302.825
268,-21.0,-21.0,-21.0,1017.17,13271.929
269,-21.0,-21.0,-21.0,1017.27,13249.427
270,-21.0,-21.0,-21.0,1016.96,13251.959
271,-21.0,-21.0,-21.0,1017.1,13249.963
272,-21.0,-21.0,-21.0,1017.22,13272.651
273,-21.0,-21.0,-21.0,1017.28,13277.121
274,-21.0,-21.0,-21.0,1017.31,13280.527
275,-21.0,-21.0,-21.0,1017.31,13321.288
276,-21.0,-21.0,-21.0,1017.63,13318.444
277,-21.0,-21.0,-21.0,1017.98,13301.056
278,-21.0,-21.0,-21.0,1018.01,13334.159
279,-21.0,-21.0,-21.0,1018.51,13353.692
280,-21.0,-21.0,-21.0,1018.51,13368.734
281,-21.0,-21.0,-21.0,1018.6,13419.825
282,-21.0,-21.0,-21.0,1018.61,13432.754
283,-21.0,-21.0,-21.0,1018.67,13456.964
284,-21.0,-21.0,-21.0,1018.28,13466.095
285,-21.0,-21.0,-21.0,1018.52,13448.981
286,-21.0,-21.0,-21.0,1018.89,13465.76
287,-21.0,-21.0,-21.0,1019.12,13488.098
288,-21.0,-21.0,-21.0,1018.96,13464.55
289,-21.0,-21.0,-21.0,1019.15,13447.62
290,-21.0,-21.0,-21.0,1019.06,13432.936
291,-21.0,-21.0,-21.0,1018.71,13397.744
292,-21.0,-21.0,-21.0,1018.55,13357.631
293,-21.0,-21.0,-21.0,1018.8,13341.021
294,-21.0,-21.0,-21.0,1018.2,13312.784
295,-21.0,-21.0,-21.0,1018.21,13297.367
296,-21.0,-21.0,-21.0,1018.48,13277.958
297,-21.0,-21.0,-21.0,1018.24,13260.474
298,-21.0,-21.0,-21.0,1017.86,13251.859
299,-21.0,-21.0,-21.0,1017.75,13243.956
300,-21.0,-21.0,-21.0,1017.58,13242.37
301,-21.0,-21.0,-21.0,1017.35,13275.88
302,-21.0,-21.0,-21.0,1017.44,13287.237
303,-21.0,-21.0,-21.0,1017.45,13286.537
304,-21.0,-21.0,-21.0,1017.42,13307.676
305,-21.0,-21.0,-21.0,1017.37,13306.144
306,-21.0,-21.0,-21.0,1017.56,13296.312
307,-21.0,-21.0,-21.0,1017.74,13289.957
308,-21.0,-21.0,-21.0,1017.44,13296.489
309,-21.0,-21.0,-21.0,1017.84,13306.244
310,-21.0,-21.0,-21.0,1017.98,13302.413
311,-21.0,-21.0,-21.0,1018.62,13272.288
312,-21.0,-21.0,-21.0,1018.68,13262.905
313,-21.0,-21.0,-21.0,1018.77,13256.474
314,-21.0,-21.0,-21.0,1018.94,13254.247
315,-21.0,-21.0,-21.0,1018.94,13282.647
316,-21.0,-21.0,-21.0,1018.83,13298.978
317,-21.0,-21.0,-21.0,1018.39,13301.628
318,-21.0,-21.0,-21.0,1018.38,13296.396
319,-21.0,-21.0,-21.0,1018.29,13280.92
